,artist,song,spotify_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cp_length,genres
2516,metric,help i'm alive,1z4xjDLLWJgG48Bn8OCxZv,0.565,0.877,5.0,-4.561,0.0,0.0614,0.00813,0.00251,0.26,0.389,118.484,285920.0,4.0,3,"['alternative dance', 'canadian indie', 'canadian rock', 'dance-punk', 'electropop', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'lilith', 'metropopolis', 'modern rock', 'neo-synthpop', 'new rave', 'shimmer pop']"
2517,metric,help i'm alive,1z4xjDLLWJgG48Bn8OCxZv,0.565,0.877,5.0,-4.561,0.0,0.0614,0.00813,0.00251,0.26,0.389,118.484,285920.0,4.0,4,"['alternative dance', 'canadian indie', 'canadian rock', 'dance-punk', 'electropop', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'lilith', 'metropopolis', 'modern rock', 'neo-synthpop', 'new rave', 'shimmer pop']"
2518,metric,help i'm alive,1z4xjDLLWJgG48Bn8OCxZv,0.565,0.877,5.0,-4.561,0.0,0.0614,0.00813,0.00251,0.26,0.389,118.484,285920.0,4.0,5,"['alternative dance', 'canadian indie', 'canadian rock', 'dance-punk', 'electropop', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'lilith', 'metropopolis', 'modern rock', 'neo-synthpop', 'new rave', 'shimmer pop']"
2519,metro station,shake it,5619Ojc6t9evEEs3B7Drhe,0.618,0.955,4.0,-3.8360000000000003,1.0,0.0798,0.00221,3.09e-06,0.486,0.79,150.034,179947.0,4.0,4,"['electropowerpop', 'neon pop punk', 'pixie', 'pop punk']"
2520,metro station,shake it,5619Ojc6t9evEEs3B7Drhe,0.618,0.955,4.0,-3.8360000000000003,1.0,0.0798,0.00221,3.09e-06,0.486,0.79,150.034,179947.0,4.0,5,"['electropowerpop', 'neon pop punk', 'pixie', 'pop punk']"
2521,mgmt,electric feel,3FtYbEfBqAlGO46NUDQSAt,0.763,0.807,1.0,-3.714,1.0,0.035,0.0714,0.28,0.348,0.5589999999999999,103.038,229640.0,3.0,5,"['alternative dance', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'rock']"
2522,mgmt,kids,1jJci4qxiYcOHhQR247rEU,0.451,0.9309999999999999,9.0,-3.8710000000000004,1.0,0.0719,0.0007599999999999999,0.0049,0.361,0.172,122.961,302840.0,4.0,5,"['alternative dance', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'rock']"
2523,mgmt,siberian breaks,2wNK1PjIS9NbBIchakaL7k,0.305,0.77,2.0,-6.694,1.0,0.0276,0.062,0.203,0.0976,0.374,107.367,729680.0,4.0,3,"['alternative dance', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'rock']"
2524,mgmt,weekend wars,19K3lUMJmOdeuOBTrbLm19,0.5489999999999999,0.8590000000000001,5.0,-3.9930000000000003,1.0,0.0361,0.0964,2.36e-05,0.322,0.69,77.013,250773.0,4.0,4,"['alternative dance', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'rock']"
2525,mgmt,weekend wars,19K3lUMJmOdeuOBTrbLm19,0.5489999999999999,0.8590000000000001,5.0,-3.9930000000000003,1.0,0.0361,0.0964,2.36e-05,0.322,0.69,77.013,250773.0,4.0,5,"['alternative dance', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'rock']"
2526,mia,paper planes,6sG5hkP3jYe6gFYxaIFXbU,0.363,0.752,6.0,-6.379,1.0,0.0335,0.266,2.45e-06,0.10300000000000001,0.63,166.226,225440.0,4.0,5,[]
2527,michael buble,it's a beautiful day,0mvkwaZMP2gAy2ApQLtZRv,0.532,0.795,1.0,-3.9789999999999996,1.0,0.0358,0.0559,0.0,0.295,0.78,143.83700000000005,199267.0,4.0,5,"['adult standards', 'canadian pop', 'lounge']"
2528,michael calfan,resurrection - axwell's recut club version,6byaKxMUNVLoODRQfkqalx,0.725,0.87,7.0,-3.845,1.0,0.0381,0.015,0.8,0.11699999999999999,0.39299999999999996,128.03,300586.0,4.0,5,"['big room', 'deep groove house', 'deep house', 'deep tropical house', 'disco house', 'edm', 'electro house', 'house', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
